lat;lng;STREET TYPOLOGY;;
51.508264;-0.129061;pedestrian;;
51.508388;-0.128509;pedestrian;;
51.508479;-0.127929;pedestrian;;
51.508567;-0.12735;pedestrian;;
51.536206;-0.102273;pedestrian;;
51.535892;-0.102663;pedestrian;;
51.535589;-0.103076;pedestrian;;
51.535282;-0.103475;pedestrian;;
51.534933;-0.103778;pedestrian;;
51.534605;-0.10414;pedestrian;;
51.520788;-0.12326;pedestrian;;
51.521031;-0.122859;pedestrian;;
51.521203;-0.122364;pedestrian;;
51.526818;-0.128946;pedestrian;;
51.526651;-0.129337;pedestrian;;
51.52649;-0.129734;pedestrian;;
51.522325;-0.122621;pedestrian;;
51.522721;-0.122835;pedestrian;;
51.518615;-0.121672;pedestrian;;
51.518494;-0.12132;pedestrian;;
51.518372;-0.120969;pedestrian;;
51.473361;-0.182402;pedestrian;;
51.473244;-0.181931;pedestrian;;
51.473135;-0.181455;pedestrian;;
51.472963;-0.181196;pedestrian;;
51.468463;-0.225111;pedestrian;;
51.46884;-0.225112;pedestrian;;
51.469217;-0.225109;pedestrian;;
51.469593;-0.225107;pedestrian;;
51.46997;-0.225103;pedestrian;;
51.470347;-0.225088;pedestrian;;
51.514434;-0.096893;pedestrian;;
51.514368;-0.097595;pedestrian;;
51.514125;-0.099606;pedestrian;;
51.514223;-0.099035;pedestrian;;
51.514087;-0.098653;pedestrian;;
51.513972;-0.0992;pedestrian;;
51.513882;-0.099662;pedestrian;;
51.513514;-0.099693;pedestrian;;
51.513421;-0.099645;pedestrian;;
51.513678;-0.100164;pedestrian;;
51.513981;-0.100227;pedestrian;;
51.5035;-0.07441;pedestrian;;
51.503675;-0.074271;pedestrian;;
51.510721;-0.096941;pedestrian;;
51.510567;-0.096996;pedestrian;;
51.513292;-0.116653;pedestrian;;
51.513609;-0.116691;pedestrian;;
51.513903;-0.116552;pedestrian;;
51.514186;-0.116321;pedestrian;;
51.515443;-0.131615;pedestrian;;
51.515534;-0.131283;pedestrian;;
51.515626;-0.130951;pedestrian;;
51.511406;-0.132119;pedestrian;;
51.511597;-0.131598;pedestrian;;
51.511794;-0.131081;pedestrian;;
51.511981;-0.130556;pedestrian;;
51.512169;-0.130032;pedestrian;;
51.511951;-0.129537;pedestrian;;
51.511949;-0.128969;pedestrian;;
51.511926;-0.128388;pedestrian;;
51.511755;-0.129369;pedestrian;;
51.511449;-0.129262;pedestrian;;
51.511142;-0.129163;pedestrian;;
51.511048;-0.129504;pedestrian;;
51.510958;-0.128948;pedestrian;;
51.510835;-0.12841;pedestrian;;
51.51545;-0.139223;pedestrian;;
51.515094;-0.139006;pedestrian;;
51.515296;-0.098457;pedestrian;;
51.514979;-0.098521;pedestrian;;
51.514645;-0.098467;pedestrian;;
51.514312;-0.09841;pedestrian;;
51.514889;-0.099631;pedestrian;;
51.515237;-0.099663;pedestrian;;
51.515567;-0.099484;pedestrian;;
51.514645;-0.098821;pedestrian;;
51.514664;-0.09847;pedestrian;;
51.512594;-0.090208;pedestrian;;
51.512226;-0.090431;pedestrian;;
51.511856;-0.090648;pedestrian;;
51.512603;-0.088522;pedestrian;;
51.512656;-0.088674;pedestrian;;
51.512377;-0.093737;pedestrian;;
51.512781;-0.093663;pedestrian;;
51.513184;-0.093566;pedestrian;;
51.513575;-0.093393;pedestrian;;
51.513964;-0.093201;pedestrian;;
51.512248;-0.094396;pedestrian;;
51.512003;-0.094401;pedestrian;;
51.510728;-0.092009;pedestrian;;
51.510998;-0.091663;pedestrian;;
51.511289;-0.088622;pedestrian;;
51.510987;-0.088809;pedestrian;;
51.525456;-0.178982;pedestrian;;
51.525664;-0.179223;pedestrian;;
51.513367;-0.086168;pedestrian;;
51.513045;-0.086276;pedestrian;;
51.512739;-0.086467;pedestrian;;
51.512445;-0.086704;pedestrian;;
51.519548;-0.11834;pedestrian;;
51.519895;-0.117948;pedestrian;;
51.520236;-0.117541;pedestrian;;
51.480891;-0.199086;pedestrian;;
51.480788;-0.198688;pedestrian;;
51.48057;-0.197968;pedestrian;;
51.48046;-0.197757;pedestrian;;
51.469813;-0.068368;pedestrian;;
51.469646;-0.068996;pedestrian;;
51.469485;-0.069628;pedestrian;;
51.469325;-0.07026;pedestrian;;
51.492537;-0.138886;pedestrian;;
51.49224;-0.138651;pedestrian;;
51.491945;-0.138408;pedestrian;;
51.515821;-0.123819;pedestrian;;
51.516005;-0.123523;pedestrian;;
51.52283;-0.129393;pedestrian;;
51.52296;-0.129075;pedestrian;;
51.523819;-0.132891;pedestrian;;
51.523488;-0.132538;pedestrian;;
51.523156;-0.132184;pedestrian;;
51.522826;-0.131828;pedestrian;;
51.513929;-0.122211;pedestrian;;
51.513689;-0.121644;pedestrian;;
51.513495;-0.121041;pedestrian;;
51.513277;-0.120452;pedestrian;;
51.506903;-0.146506;pedestrian;;
51.50682;-0.146473;pedestrian;;
51.493891;-0.10353;pedestrian;;
51.493942;-0.104047;pedestrian;;
51.493997;-0.104563;pedestrian;;
51.504893;-0.115477;pedestrian;;
51.504589;-0.115116;pedestrian;;
51.504286;-0.114755;pedestrian;;
51.506342;-0.147722;pedestrian;;
51.50644;-0.14704;pedestrian;;
51.506541;-0.14636;pedestrian;;
51.525623;-0.109642;pedestrian;;
51.525918;-0.110065;pedestrian;;
51.514226;-0.14915;pedestrian;;
51.514037;-0.148591;pedestrian;;
51.513782;-0.148066;pedestrian;;
51.513528;-0.14754;pedestrian;;
51.513274;-0.147014;pedestrian;;
51.513014;-0.146497;pedestrian;;
51.508461;-0.154302;pedestrian;;
51.50854;-0.153844;pedestrian;;
51.509993;-0.149384;pedestrian;;
51.509777;-0.149229;pedestrian;;
51.513845;-0.140753;pedestrian;;
51.51359;-0.140489;pedestrian;;
51.51335;-0.140193;pedestrian;;
51.512259;-0.137848;pedestrian;;
51.512564;-0.138178;pedestrian;;
51.512866;-0.138514;pedestrian;;
51.513172;-0.13884;pedestrian;;
51.513479;-0.139165;pedestrian;;
51.5138;-0.13945;pedestrian;;
51.513932;-0.13841;pedestrian;;
51.513715;-0.138186;pedestrian;;
51.50412;-0.105373;pedestrian;;
51.504114;-0.10599;pedestrian;;
51.504116;-0.106606;pedestrian;;
51.52224;-0.123112;pedestrian;;
51.522649;-0.12336;pedestrian;;
51.519978;-0.163455;pedestrian;;
51.520056;-0.16316;pedestrian;;
51.518749;-0.104176;pedestrian;;
51.51888;-0.104268;pedestrian;;
51.517148;-0.120056;pedestrian;;
51.517169;-0.119913;pedestrian;;
51.520392;-0.100495;pedestrian;;
51.52023;-0.100277;pedestrian;;
51.514979;-0.099646;pedestrian;;
51.514942;-0.100184;pedestrian;;
51.514906;-0.100722;pedestrian;;
51.528249;-0.124122;pedestrian;;
51.528338;-0.123425;pedestrian;;
51.518689;-0.143326;pedestrian;;
51.518762;-0.142961;pedestrian;;
51.513319;-0.103438;pedestrian;;
51.51332;-0.102938;pedestrian;;
51.513753;-0.103439;pedestrian;;
51.513346;-0.103438;pedestrian;;
51.513039;-0.103222;pedestrian;;
51.512726;-0.101312;pedestrian;;
51.512785;-0.101823;pedestrian;;
51.512834;-0.102338;pedestrian;;
