lat;lng;STREET TYPOLOGY;NUMBER OF AMENITIES;MAIN CATEGORY
48.852646;2.352207;pedestrian;0;NEED
48.852667;2.352311;pedestrian;0;NEED
48.83222;2.35503;pedestrian;0;NEED
48.832232;2.355556;pedestrian;0;NEED
48.832243;2.356081;pedestrian;0;NEED
48.832176;2.358553;pedestrian;0;NEED
48.832513;2.358803;pedestrian;0;NEED
48.843285;2.366233;pedestrian;0;NEED
48.843597;2.366162;pedestrian;0;NEED
48.843878;2.365954;pedestrian;0;NEED
48.835265;2.369449;pedestrian;0;NEED
48.835161;2.369532;pedestrian;0;NEED
48.835998;2.37297;pedestrian;0;NEED
48.83593;2.372843;pedestrian;0;NEED
48.830434;2.378314;pedestrian;0;NEED
48.830644;2.378822;pedestrian;0;NEED
48.830852;2.379331;pedestrian;0;NEED
48.831063;2.379838;pedestrian;0;NEED
48.836965;2.318067;pedestrian;0;NEED
48.836723;2.317781;pedestrian;0;NEED
48.836482;2.317493;pedestrian;0;NEED
48.836261;2.350181;pedestrian;0;NEED
48.835843;2.350216;pedestrian;0;NEED
48.827796;2.356773;pedestrian;0;NEED
48.827835;2.35709;pedestrian;0;NEED
48.830056;2.354319;pedestrian;0;NEED
48.829981;2.353805;pedestrian;0;NEED
48.829824;2.353298;pedestrian;0;NEED
48.829669;2.352789;pedestrian;0;NEED
48.829062;2.353516;pedestrian;0;NEED
48.829059;2.35317;pedestrian;0;NEED
48.828969;2.352817;pedestrian;0;NEED
48.852697;2.333926;pedestrian;0;NEED
48.853024;2.334022;pedestrian;0;NEED
48.85335;2.334119;pedestrian;0;NEED
48.852663;2.333692;pedestrian;0;NEED
48.852309;2.333688;pedestrian;0;NEED
48.851956;2.333712;pedestrian;0;NEED
48.851603;2.33375;pedestrian;0;NEED
48.851251;2.333797;pedestrian;0;NEED
48.851944;2.335251;pedestrian;0;NEED
48.851903;2.334742;pedestrian;0;NEED
48.851864;2.334232;pedestrian;0;NEED
48.851826;2.333721;pedestrian;0;NEED
48.851888;2.334559;pedestrian;0;NEED
48.852187;2.33452;pedestrian;0;NEED
48.852485;2.334481;pedestrian;0;NEED
48.852784;2.334441;pedestrian;0;NEED
48.84859;2.346252;pedestrian;0;NEED
48.848323;2.346629;pedestrian;0;NEED
48.848113;2.347083;pedestrian;0;NEED
48.83787;2.347526;pedestrian;0;NEED
48.838107;2.347121;pedestrian;0;NEED
48.838345;2.346717;pedestrian;0;NEED
48.839388;2.34992;pedestrian;0;NEED
48.839218;2.349568;pedestrian;0;NEED
48.839029;2.349233;pedestrian;0;NEED
48.84147;2.34992;pedestrian;0;NEED
48.841245;2.35046;pedestrian;0;NEED
48.844826;2.349717;pedestrian;0;NEED
48.844763;2.350284;pedestrian;0;NEED
48.844695;2.350849;pedestrian;0;NEED
48.844621;2.351413;pedestrian;0;NEED
48.844547;2.351977;pedestrian;0;NEED
48.844527;2.35211;pedestrian;0;NEED
48.844476;2.352409;pedestrian;0;NEED
48.840689;2.348744;pedestrian;0;NEED
48.840761;2.34921;pedestrian;0;NEED
48.840862;2.349662;pedestrian;0;NEED
48.840499;2.350587;pedestrian;0;NEED
48.840463;2.350023;pedestrian;0;NEED
48.840439;2.349458;pedestrian;0;NEED
48.840401;2.348902;pedestrian;0;NEED
48.892627;2.345012;pedestrian;0;NEED
48.892523;2.344669;pedestrian;0;NEED
48.892745;2.344519;pedestrian;0;NEED
48.851085;2.344486;pedestrian;0;NEED
48.851407;2.344652;pedestrian;0;NEED
48.85172;2.34484;pedestrian;0;NEED
48.851955;2.344169;pedestrian;0;NEED
48.851829;2.344498;pedestrian;0;NEED
48.85172;2.34484;pedestrian;0;NEED
48.852456;2.345087;pedestrian;0;NEED
48.852716;2.345398;pedestrian;0;NEED
48.852992;2.34567;pedestrian;0;NEED
48.852892;2.346017;pedestrian;0;NEED
48.853247;2.346248;pedestrian;0;NEED
48.852644;2.347634;pedestrian;0;NEED
48.852543;2.347455;pedestrian;0;NEED
48.852084;2.346605;pedestrian;0;NEED
48.852168;2.346301;pedestrian;0;NEED
48.85106;2.348185;pedestrian;0;NEED
48.850886;2.347841;pedestrian;0;NEED
48.850664;2.34755;pedestrian;0;NEED
48.85369;2.342608;pedestrian;0;NEED
48.853541;2.343236;pedestrian;0;NEED
48.852873;2.343269;pedestrian;0;NEED
48.852765;2.343825;pedestrian;0;NEED
48.852878;2.3397;pedestrian;0;NEED
48.852625;2.340144;pedestrian;0;NEED
48.852354;2.340564;pedestrian;0;NEED
48.845997;2.38411;pedestrian;0;NEED
48.845821;2.384249;pedestrian;0;NEED
48.841084;2.389131;pedestrian;0;NEED
48.840749;2.388729;pedestrian;0;NEED
48.840418;2.38832;pedestrian;0;NEED
48.839962;2.390267;pedestrian;0;NEED
48.840308;2.38999;pedestrian;0;NEED
48.840654;2.389712;pedestrian;0;NEED
48.841009;2.389468;pedestrian;0;NEED
48.866025;2.322764;pedestrian;0;NEED
48.866097;2.323045;pedestrian;0;NEED
48.869723;2.335812;pedestrian;0;NEED
48.869322;2.335733;pedestrian;0;NEED
48.86894;2.335523;pedestrian;0;NEED
48.868559;2.335311;pedestrian;0;NEED
48.868178;2.335099;pedestrian;0;NEED
48.868433;2.33652;pedestrian;0;NEED
48.868314;2.337049;pedestrian;0;NEED
48.868194;2.337578;pedestrian;0;NEED
48.868076;2.338107;pedestrian;0;NEED
48.868258;2.337295;pedestrian;0;NEED
48.867853;2.337085;pedestrian;0;NEED
48.870182;2.334813;pedestrian;0;NEED
48.869914;2.334813;pedestrian;0;NEED
48.869327;2.337881;pedestrian;0;NEED
48.869465;2.338302;pedestrian;0;NEED
48.86947;2.338832;pedestrian;0;NEED
48.859145;2.34181;pedestrian;0;NEED
48.859567;2.341976;pedestrian;0;NEED
48.859987;2.342148;pedestrian;0;NEED
48.860405;2.342333;pedestrian;0;NEED
48.886542;2.341406;pedestrian;0;NEED
48.88666;2.341371;pedestrian;0;NEED
48.857951;2.318512;pedestrian;0;NEED
48.857841;2.318844;pedestrian;0;NEED
48.857732;2.319177;pedestrian;0;NEED
48.851747;2.32788;pedestrian;0;NEED
48.852124;2.327946;pedestrian;0;NEED
48.852501;2.328006;pedestrian;0;NEED
48.852551;2.325048;pedestrian;0;NEED
48.85265;2.325101;pedestrian;0;NEED
48.860104;2.343427;pedestrian;0;NEED
48.860467;2.343611;pedestrian;0;NEED
48.860828;2.343801;pedestrian;0;NEED
48.861189;2.343995;pedestrian;0;NEED
48.86081;2.348619;pedestrian;0;NEED
48.861105;2.348793;pedestrian;0;NEED
48.8614;2.348967;pedestrian;0;NEED
48.862101;2.348281;pedestrian;0;NEED
48.86199;2.348749;pedestrian;0;NEED
48.861879;2.349217;pedestrian;0;NEED
48.858758;2.347447;pedestrian;0;NEED
48.858895;2.347644;pedestrian;0;NEED
48.866057;2.339862;pedestrian;0;NEED
48.866197;2.339265;pedestrian;0;NEED
48.866337;2.338668;pedestrian;0;NEED
48.867906;2.339535;pedestrian;0;NEED
48.868005;2.339085;pedestrian;0;NEED
48.868105;2.338635;pedestrian;0;NEED
48.868205;2.338185;pedestrian;0;NEED
48.8659;2.341388;pedestrian;0;NEED
48.8663;2.341267;pedestrian;0;NEED
48.86633;2.344437;pedestrian;0;NEED
48.866151;2.344062;pedestrian;0;NEED
48.865972;2.343687;pedestrian;0;NEED
48.865778;2.34333;pedestrian;0;NEED
48.865111;2.343826;pedestrian;0;NEED
48.865349;2.344295;pedestrian;0;NEED
48.865587;2.344764;pedestrian;0;NEED
48.864131;2.346572;pedestrian;0;NEED
48.864077;2.347063;pedestrian;0;NEED
48.864023;2.347553;pedestrian;0;NEED
48.862852;2.348;pedestrian;0;NEED
48.862843;2.348648;pedestrian;0;NEED
48.862515;2.347816;pedestrian;0;NEED
48.86236;2.348162;pedestrian;0;NEED
48.862471;2.348291;pedestrian;0;NEED
48.861021;2.347746;pedestrian;0;NEED
48.861424;2.347945;pedestrian;0;NEED
48.861826;2.348144;pedestrian;0;NEED
48.862229;2.348344;pedestrian;0;NEED
48.862631;2.348543;pedestrian;0;NEED
48.863034;2.348743;pedestrian;0;NEED
48.863436;2.348942;pedestrian;0;NEED
48.863839;2.349142;pedestrian;0;NEED
48.863465;2.348206;pedestrian;0;NEED
48.863316;2.348824;pedestrian;0;NEED
48.863177;2.349448;pedestrian;0;NEED
48.863049;2.350077;pedestrian;0;NEED
48.86293;2.350711;pedestrian;0;NEED
48.866344;2.347153;pedestrian;0;NEED
48.866445;2.346584;pedestrian;0;NEED
48.866545;2.346014;pedestrian;0;NEED
48.866645;2.345445;pedestrian;0;NEED
